"provider","name","station_id","latitude","longitude","docks","duration_minutes","start_station_count","year","end_count"
"santander","Southwark Station 1, Southwark",420,"51.504043","-0.105312","28","16.11","8730",2017,"10527"
"santander","Waterloo Station 3, Waterloo",154,"51.503792","-0.112824","29","14.08","83514",2017,"79323"
"santander","Putney Pier, Wandsworth",302,"51.466907","-0.216573","28","22.96","6002",2017,"7192"
"santander","Fulham Broadway, Walham Green",737,"51.479933","-0.194117","26","17.19","26432",2017,"26084"
"santander","Bayswater Road, Hyde Park",153,"51.511933","-0.174411","27","31.07","23187",2017,"22820"
"santander","Greyhound Road, Hammersmith",635,"51.486062","-0.214428","37","18.11","9470",2017,"9130"
"santander","Wapping Lane, Wapping",458,"51.504749","-0.057544","28","17.44","14228",2017,"13712"
"santander","Hermitage Court, Wapping",451,"51.504719","-0.063531","16","16.52","7158",2017,"6304"
"santander","Kennington Station, Kennington",435,"51.488852","-0.105593","21","17.52","8220",2017,"8446"
"santander","York Hall, Bethnal Green",446,"51.528936","-0.055894","26","18.48","16634",2017,"16210"
"santander","LSBU (Borough Road), Elephant & Castle",262,"51.498745","-0.103133","34","16.71","8574",2017,"8005"
"santander","Millennium Hotel, Mayfair",366,"51.510919","-0.151126","27","23.21","8524",2017,"9665"
"santander","Ilchester Gardens, Bayswater",584,"51.51244","-0.19096","21","22.67","13749",2017,"12384"
"santander","South Quay East, Canary Wharf",494,"51.50196","-0.016251","36","31.67","1175",2017,"1417"
"santander","Silverthorne Road, Battersea",640,"51.472866","-0.148059","27","20.38","9840",2017,"9168"
"santander","Podium, Queen Elizabeth Olympic Park",789,"51.538718","-0.011889","40","37.70","17064",2017,"17032"
"santander","Grosvenor Square, Mayfair",348,"51.51217","-0.150481","16","22.53","12187",2017,"13566"
"santander","Park Road (Baker Street), The Regent's Park",114,"51.524517","-0.158964","22","26.98","17561",2017,"17229"
"santander","Blackfriars Road, Southwark",792,"51.505461","-0.104541","42","18.57","14955",2017,"15075"
